"","city","site","beetle_cnt","beetle_rich","sw_index","nn_rich","nat_rich","nonnative_perc","avg_nudds","avg_densio","litter","pH","K","dist_from_city","diameter"
"1",2,"Christina Creek 2",24,4,0.9704,6,30,28.4,78.062,15.886,1.95,7.241,0.34786,2,61.53330027
"2",2,"Chrysler Woods",41,5,1.1782,10,41,25,58.846,13.494,3.95,7.401,0.30857,2,46.16417639
"3",2,"Dorothy Miller",86,10,1.4396,7,26,16.5,36.781,12.402,4.3,7.351,0.35946,2,142.0929267
"4",2,"Ecology Woods",18,9,2.1375,5,37,6.7,58.969,13.468,3.1,7.065,0.34164,2,171.9644731
"5",2,"Iron Hill 2",156,14,1.7006,2,26,2,34.939,5.252,8,7.163,0.21795,3,119.7321758
"6",2,"Motor Pool",28,5,1.5366,8,29,14.8,56.654,12.61,4.9,7.167,0.30112,1,67.93850935
"7",2,"Phillips",26,9,1.9457,8,39,13.9,60.97,13.104,6.4,7.203,0.22961,1,36.22131678
"8",2,"Reservoir",77,9,1.9476,2,29,2,21.938,9.282,6.9,6.751,0.4616,2,105.2478961
"9",2,"Rittenhouse",120,8,1.436,5,29,3.4,40.095,8.866,5.65,7.224,0.42,3,72.33354333
"10",2,"Sunset Lake 1",30,8,1.5629,3,25,9.1,30.064,8.606,6.05,6.75,0.21435,1,32.08865372
"11",2,"Webb Farm",36,10,2.151,3,27,14.2,28.751,20.644,6.8,7.05,0.28935,1,280.4786158
"12",2,"White Clay 1",82,11,2.0754,5,17,15.7,32.593,15.132,6.7,6.57,0.53149,3,104.1298999
